@relation class_relation
@attribute 'wordCount' real
@attribute 'DensityinHTML' real
@attribute 'LinkCount' real
@attribute 'wordCountinLink' real
@attribute 'meanofWordinLinks' real
@attribute 'meanofWordinLinksAllWords' real
@attribute 'h1_count' real
@attribute 'h2_count' real
@attribute 'h3_count' real
@attribute 'h4_count' real
@attribute 'h5_count' real
@attribute 'h6_count' real
@attribute 'img_count' real
@attribute 'p_count' real
@attribute 'br_count' real
@attribute 'span_count' real
@attribute 'object_count' real
@attribute 'ul_count' real
@attribute 'li_count' real
@attribute 'input_count' real
@attribute 'div_count' real
@attribute 'td_count' real
@attribute 'dot_count' real
@attribute 'wordCount_AE' real
@attribute 'densityinHTML_AE' real
@attribute 'LinkCount_AE' real
@attribute 'wordCountinLink_AE' real
@attribute 'meanofWordinLinks_AE' real
@attribute 'meanofWordinLinksAllWords_AE' real
@attribute 'h1_count_AE' real
@attribute 'h2_count_AE' real
@attribute 'h3_count_AE' real
@attribute 'h4_count_AE' real
@attribute 'h5_count_AE' real
@attribute 'h6_count_AE' real
@attribute 'img_count_AE' real
@attribute 'p_count_AE' real
@attribute 'br_count_AE' real
@attribute 'span_count_AE' real
@attribute 'object_count_AE' real
@attribute 'ul_count_AE' real
@attribute 'li_count_AE' real
@attribute 'input_count_AE' real
@attribute 'div_count_AE' real
@attribute 'td_count_AE' real
@attribute 'dot_count_AE' real
@attribute 'tagName' {DIV, TD, H1, H2, H3, H4, H5, H6, P, SPAN, FONT, UL, DL, LI, FORM, STRONG, OL, B, TABLE}
@attribute 'hastagORID' real
@attribute 'repeat_tag_count' real
@attribute 'class' {main, headline, summary, others, menu, links, empty}
@data
27,0.0171102661596958,22,29,1.31818181818182,1.07407407407407,0,11,11,0,0,0,1,0,0,11,0,1,22,0,0,0,0,27,0.0171102661596958,22,29,1.31818181818182,1.07407407407407,0,11,11,0,0,0,1,0,0,11,0,1,22,0,0,0,0,UL,1,1,menu
23,0.0254424778761062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0.0254424778761062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DIV,1,1,others
23,0.014575411913815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.014575411913815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DIV,1,1,others
6,0.00663716814159292,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0.00663716814159292,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,DIV,1,1,others
4,0.00253485424588086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.00253485424588086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DIV,1,1,others
1,0.00110619469026549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0.00221238938053097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DIV,1,1,others
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.00126742712294043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DIV,1,1,others
295,0.326327433628319,13,50,3.84615384615385,0.169491525423729,0,0,0,2,0,0,0,14,0,3,0,0,0,0,15,0,74,251,0.277654867256637,1,11,11,0.0438247011952191,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,60,DIV,1,1,main
964,0.610899873257288,18,98,5.44444444444444,0.101659751037344,0,0,0,7,0,0,0,18,0,7,0,0,0,0,19,0,151,883,0.5595690747782,2,22,11,0.0249150622876557,0,0,0,1,0,0,0,12,0,4,0,0,0,0,1,0,113,DIV,1,1,main
1,0.00110619469026549,1,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0.00110619469026549,1,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,DIV,1,1,menu
1,0.000633713561470215,1,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0.000633713561470215,1,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,DIV,1,1,menu
1,0.00110619469026549,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.00110619469026549,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,DIV,1,2,menu
1,0.000633713561470215,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.000633713561470215,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,DIV,1,2,menu
4,0.00442477876106195,1,5,5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.00442477876106195,1,5,5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DIV,1,1,links
4,0.00253485424588086,1,5,5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.00253485424588086,1,5,5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DIV,1,1,links
10,0.0110619469026549,1,12,12,1.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,10,0.0121681415929204,1,12,12,1.09090909090909,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,DIV,1,1,links
10,0.00633713561470215,1,12,12,1.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,10,0.00697084917617237,1,12,12,1.09090909090909,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,DIV,1,1,links
16,0.0176991150442478,5,15,3,0.9375,0,0,0,0,1,0,1,0,1,0,0,1,1,0,3,0,0,5,0.00553097345132743,1,5,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,DIV,1,1,menu
18,0.0114068441064639,5,17,3.4,0.944444444444444,0,0,0,0,1,0,1,0,1,0,0,1,1,0,3,0,0,5,0.00316856780735108,1,5,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,DIV,1,1,menu
40,0.0442477876106195,24,40,1.66666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,40,0.0442477876106195,24,40,1.66666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,DIV,1,1,menu
40,0.0253485424588086,24,40,1.66666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,40,0.0253485424588086,24,40,1.66666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,DIV,1,1,menu
46,0.0508849557522124,20,44,2.2,0.956521739130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,0.0508849557522124,20,44,2.2,0.956521739130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,DIV,1,1,menu
